__time,/effort_control_sim/data.0,/effort_control_sim/layout/data_offset,/joint_states_sim/header/stamp,/joint_states_sim/joint0/position,/joint_states_sim/joint0/velocity,/joint_states_sim/joint1/position,/joint_states_sim/joint1/velocity
1707430394.090539,,,55.584000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.092778,,,55.586000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.094505,,,55.588000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.096748,,,55.590000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.099042,,,55.592000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.101308,,,55.594000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.102988,,,55.596000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.105221,,,55.598000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.107495,,,55.600000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.109747,,,55.602000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.111975,,,55.604000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.114228,,,55.606000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.115925,,,55.608000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.118148,,,55.610000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.120433,,,55.612000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.122684,,,55.614000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.124417,,,55.616000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.126630,,,55.618000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.128895,,,55.620000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.131248,,,55.622000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.132946,,,55.624000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.135206,,,55.626000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.137494,,,55.628000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.139151,,,55.630000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.141397,,,55.632000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.143688,,,55.634000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.145965,,,55.636000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.148226,,,55.638000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.149925,,,55.640000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.152244,,,55.642000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.154446,,,55.644000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.156195,,,55.646000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.158440,,,55.648000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.160709,,,55.650000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.162937,,,55.652000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.165201,,,55.654000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.166902,,,55.656000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.169161,,,55.658000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.171448,,,55.660000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.173668,,,55.662000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.175408,,,55.664000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.177623,,,55.666000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.179911,,,55.668000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.182150,,,55.670000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.183849,,,55.672000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.186184,,,55.674000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.188441,,,55.676000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.190666,,,55.678000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.192916,,,55.680000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.194620,,,55.682000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.196896,,,55.684000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.199160,,,55.686000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.200859,,,55.688000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.203115,,,55.690000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.205370,,,55.692000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.207627,,,55.694000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.209944,,,55.696000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.211626,,,55.698000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.214044,,,55.700000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.216287,,,55.702000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.218545,,,55.704000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.220803,,,55.706000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.222511,,,55.708000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.224763,,,55.710000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.227030,,,55.712000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.229286,,,55.714000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.231644,,,55.716000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.233332,,,55.718000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.235543,,,55.720000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.237796,,,55.722000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.239503,,,55.724000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.241767,,,55.726000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.244035,,,55.728000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.246454,,,55.730000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.248114,,,55.732000000,0.000000000,0.000000000,-0.000000000,-0.000000000
1707430394.250367,,,55.734000000,0.000000000,-0.000000000,-0.000000000,-0.000000000
1707430394.252620,,,55.736000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.254889,,,55.738000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.256609,,,55.740000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.258850,,,55.742000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.261114,,,55.744000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.263525,,,55.746000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.265222,,,55.748000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.267472,,,55.750000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.269744,,,55.752000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.271477,,,55.754000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.273730,,,55.756000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.275977,,,55.758000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.278216,,,55.760000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.280492,,,55.762000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.282146,,,55.764000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.284439,,,55.766000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.286671,,,55.768000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.288398,,,55.770000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.290717,,,55.772000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.292984,,,55.774000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.295253,,,55.776000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.297596,,,55.778000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.299283,,,55.780000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.301531,,,55.782000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.303818,,,55.784000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.306073,,,55.786000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.307763,,,55.788000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.310027,,,55.790000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.312437,,,55.792000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.314673,,,55.794000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.316366,,,55.796000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.318623,,,55.798000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.320880,,,55.800000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.322633,,,55.802000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.324893,,,55.804000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.327150,,,55.806000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.329412,,,55.808000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.331666,,,55.810000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.333361,,,55.812000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.335615,,,55.814000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.337867,,,55.816000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.340121,,,55.818000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.341818,,,55.820000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.344080,,,55.822000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.346408,,,55.824000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.348112,,,55.826000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.350399,,,55.828000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.352627,,,55.830000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.354886,,,55.832000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.356589,,,55.834000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.358839,,,55.836000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.361137,,,55.838000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.363353,,,55.840000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.365591,,,55.842000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.367842,,,55.844000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.369587,,,55.846000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.371799,,,55.848000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430394.374146,,,55.850000000,0.000000000,-0.000000000,-0.000000000,0.000000000
