__time,/dynamic_joint_states/header/stamp,/dynamic_joint_states/interface_values.1/values.0,/dynamic_joint_states/interface_values.1/values.1,/dynamic_joint_states/interface_values.1/values.7,/dynamic_joint_states/interface_values.2/values.0,/dynamic_joint_states/interface_values.2/values.1,/dynamic_joint_states/interface_values.2/values.7,/effort_control/data.0,/effort_control/layout/data_offset,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/parameter_events/new_parameters.0/value/bool_value,/parameter_events/new_parameters.0/value/double_value,/parameter_events/new_parameters.0/value/integer_value,/parameter_events/new_parameters.0/value/type,/parameter_events/stamp/nanosec,/parameter_events/stamp/sec,/tf/arm1/arm2/header/stamp,/tf/arm1/arm2/rotation/w,/tf/arm1/arm2/rotation/x,/tf/arm1/arm2/rotation/y,/tf/arm1/arm2/rotation/z,/tf/arm1/arm2/translation/x,/tf/arm1/arm2/translation/y,/tf/arm1/arm2/translation/z,/tf/base_link/arm1/header/stamp,/tf/base_link/arm1/rotation/w,/tf/base_link/arm1/rotation/x,/tf/base_link/arm1/rotation/y,/tf/base_link/arm1/rotation/z,/tf/base_link/arm1/translation/x,/tf/base_link/arm1/translation/y,/tf/base_link/arm1/translation/z
1699470926.929827,,,,,,,,,,1699470926.929312229,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.931553,,,,,,,,,,1699470926.931360483,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.931928,1699470926.931360483,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.933725,1699470926.933341742,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.933754,,,,,,,,,,1699470926.933341742,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.935467,,,,,,,,,,1699470926.935304165,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.935496,1699470926.935304165,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.937694,,,,,,,,,,1699470926.937305450,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.937909,1699470926.937305450,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.939637,1699470926.939305544,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
